T	NOAA NCDC DAILY FSOD AWND
julian_day	mph
   5.9117980E-41	    10.40000    
   5.9119381E-41	    10.30000    
   5.9120782E-41	    9.700000    
   5.9122184E-41	    9.200000    
   5.9123585E-41	    8.600000    
   5.9124986E-41	    8.200000    
   5.9126387E-41	    6.900000    
   5.9127789E-41	    9.200000    
   5.9129190E-41	    9.300000    
   5.9130591E-41	    8.800000    
   5.9131993E-41	    7.200000    
   5.9133394E-41	    8.700000    
   5.9134795E-41	    9.200000    
   5.9136196E-41	    10.50000    
   5.9137598E-41	    8.400001    
   5.9138999E-41	    11.30000    
   5.9140400E-41	   10.000000    
   5.9141802E-41	    7.800000    
   5.9143203E-41	    4.600000    
   5.9144604E-41	    7.400000    
   5.9146006E-41	    9.100000    
   5.9147407E-41	    7.800000    
   5.9148808E-41	    8.300000    
   5.9150209E-41	    7.700000    
   5.9151611E-41	    6.900000    
   5.9153012E-41	    7.800000    
   5.9154413E-41	    8.800000    
   5.9155815E-41	    7.200000    
   5.9157216E-41	    6.900000    
   5.9158617E-41	    5.200000    
   5.9160019E-41	    6.500000    
   5.9161420E-41	    7.200000    
   5.9162821E-41	    4.600000    
   5.9164222E-41	    6.600000    
   5.9165624E-41	    7.300000    
   5.9167025E-41	    8.400001    
   5.9168426E-41	    7.500000    
   5.9169828E-41	    6.600000    
   5.9171229E-41	    5.500000    
   5.9172630E-41	    6.400000    
   5.9174032E-41	    6.400000    
   5.9175433E-41	    5.000000    
   5.9176834E-41	    6.800000    
   5.9178235E-41	    6.800000    
   5.9179637E-41	    9.000000    
   5.9181038E-41	    9.300000    
   5.9182439E-41	    6.500000    
   5.9183841E-41	    5.800000    
   5.9185242E-41	    6.600000    
   5.9186643E-41	    6.000000    
   5.9188045E-41	    5.800000    
   5.9189446E-41	    7.500000    
   5.9190847E-41	    4.400000    
   5.9192248E-41	    8.500000    
   5.9193650E-41	    8.100000    
   5.9195051E-41	    5.300000    
   5.9196452E-41	    7.400000    
   5.9197854E-41	    5.800000    
   5.9199255E-41	    7.100000    
   5.9200656E-41	    5.800000    
   5.9202058E-41	    4.600000    
   5.9203459E-41	    4.700000    
   5.9204860E-41	    8.900001    
   5.9206261E-41	    7.300000    
   5.9207663E-41	    8.100000    
   5.9209064E-41	    8.600000    
   5.9210465E-41	    6.500000    
   5.9211867E-41	    6.300000    
   5.9213268E-41	    6.000000    
   5.9214669E-41	    6.100000    
   5.9216071E-41	    9.300000    
   5.9217472E-41	    12.10000    
   5.9218873E-41	    4.700000    
   5.9220274E-41	    4.300000    
   5.9221676E-41	    3.700000    
   5.9223077E-41	    6.800000    
   5.9224478E-41	    4.700000    
   5.9225880E-41	    8.500000    
   5.9227281E-41	    7.600000    
   5.9228682E-41	    5.000000    
   5.9230083E-41	    5.400000    
   5.9231485E-41	    3.900000    
   5.9232886E-41	    4.400000    
   5.9234287E-41	    5.300000    
   5.9235689E-41	    9.700000    
   5.9237090E-41	    18.30000    
   5.9238491E-41	    8.200000    
   5.9239893E-41	    5.900000    
   5.9241294E-41	    5.800000    
   5.9242695E-41	    2.800000    
   5.9244096E-41	    6.200000    
   5.9245498E-41	    7.500000    
